id,juros,operacao,plano_id
1,1.8,DEBITO,1
2,3.99,CREDITO1X,1
3,5.99,CREDITO2X,1
4,6.96,CREDITO3X,1
5,7.92,CREDITO4X,1
6,8.88,CREDITO5X,1
7,9.85,CREDITO6X,1
8,11.08,CREDITO7X,1
9,12.04,CREDITO8X,1
10,13.00,CREDITO9X,1
11,13.96,CREDITO10X,1
12,14.93,CREDITO11X,1
13,15.89,CREDITO12X,1
14,1.86,DEBITO,2
15,4.10,CREDITO1X,2
16,6.23,CREDITO2X,2
17,7.69,CREDITO3X,2
18,8.66,CREDITO4X,2
19,10.64,CREDITO5X,2
20,11.63,CREDITO6X,2
21,13.38,CREDITO7X,2
22,14.39,CREDITO8X,2
23,15.41,CREDITO9X,2
24,16.44,CREDITO10X,2
25,17.48,CREDITO11X,2
26,17.83,CREDITO12X,2
27,1.90,DEBITO,3
28,4.66,CREDITO1X,3
29,5.85,CREDITO2X,3
30,7.84,CREDITO3X,3
31,9.43,CREDITO4X,3
32,11.02,CREDITO5X,3
33,12.62,CREDITO6X,3
34,14.21,CREDITO7X,3
35,15.80,CREDITO8X,3
36,17.39,CREDITO9X,3
37,18.98,CREDITO10X,3
38,20.57,CREDITO11X,3
39,22.16,CREDITO12X,3
40,1.50,DEBITO,4
41,3.76,CREDITO1X,4
42,5.23,CREDITO2X,4
43,6.19,CREDITO3X,4
44,8.66,CREDITO4X,4
45,8.14,CREDITO5X,4
46,9.13,CREDITO6X,4
47,13.38,CREDITO7X,4
48,11.39,CREDITO8X,4
49,12.41,CREDITO9X,4
50,13.44,CREDITO10X,4
51,14.48,CREDITO11X,4
52,15.54,CREDITO12X,4
53,1.28,DEBITO,5
54,3.48,CREDITO1X,5
55,4.27,CREDITO2X,5
56,4.88,CREDITO3X,5
57,5.50,CREDITO4X,5
58,6.12,CREDITO5X,5
59,6.75,CREDITO6X,5
60,7.47,CREDITO7X,5
61,8.10,CREDITO8X,5
62,8.74,CREDITO9X,5
63,9.38,CREDITO10X,5
64,10.02,CREDITO11X,5
65,10.66,CREDITO12X,5
